x,y
-7.709315663208957,2.4493438920288675
-7.7081320873618795,2.4511355695541344
-7.706954243528928,2.4529333674191895
-7.705782573783128,2.4547374699343663
-7.704617495651101,2.4565480410028417
-7.703459404007109,2.458365225541593
-7.7023085993649,2.4601891070948727
-7.701165409401091,2.462019781577796
-7.700030141578038,2.4638573288600485
-7.698903076182653,2.465701809156097
-7.697784556500069,2.4675533149743885
-7.696674836945722,2.46941188388119
-7.69557414619432,2.471277535899189
-7.694482684713489,2.473150272810267
-7.693400632057358,2.475030082841939
-7.692328141975833,2.4769169385974563
-7.6912653466736165,2.4788107999938553
-7.690212252626506,2.480711560572783
-7.6891689237020735,2.4826191450717454
-7.688135391951037,2.4845334625690736
-7.687111763693017,2.4864544603867778
-7.686098047195401,2.4883820369958345
-7.685094232823389,2.490316083652137
-7.684100286419156,2.4922564816447488
-7.683116154149118,2.4942031051802482
-7.682141664546244,2.4961557760371544
-7.681176702373117,2.498114346619013
-7.6802212195738795,2.5000787034232808
-7.679274992611496,2.502048656328899
-7.678337850313334,2.5040240436603916
-7.677409688719861,2.5060047373248233
-7.676490320276312,2.507990575999079
-7.675579540145976,2.509981395162579
-7.6746770422421,2.511976991890911
-7.673782577383928,2.5139771926536514
-7.67289595681621,2.515981853431803
-7.672016917105818,2.5179908033547944
-7.671145187030775,2.5200038728754075
-7.670280416993165,2.5220208655508247
-7.669422300947369,2.5240416072692424
-7.66857058569662,2.5260659489505666
-7.667724962067948,2.5280937233840244
-7.666885110496307,2.530124763355293
-7.666050653098143,2.532158883311632
-7.665221252808926,2.534195917313919
-7.66439661589036,2.536235719237044
-7.663576405830167,2.538278130010755
-7.662760282479786,2.540322992344732
-7.661947904338185,2.542370151381589
-7.661138928811415,2.5444194545762047
-7.660333010309758,2.546470750795735
-7.659529808472737,2.548523893098768
-7.658728980774068,2.5505787358214933
-7.657930189597657,2.5526351369205282
-7.657133096959911,2.5546929558468756
-7.65633737224188,2.5567520561125026
-7.655542686356121,2.5588123029851366
-7.654748718038518,2.560873565535214
-7.653955148376951,2.56293571449018
-7.653161667640211,2.5649986244833927
-7.652367970319649,2.567062172113842
-7.651573761003868,2.5691262378724202
-7.650778749253722,2.5711907041678472
-7.649982655883528,2.573255457426115
-7.649185217010879,2.575320389424189
-7.648386165854513,2.577385390676204
-7.647585246850054,2.5794503553746977
-7.646782217512395,2.581515181979474
-7.645976845641455,2.583579772160409
-7.645168909868414,2.5856440309382274
-7.6443581960815115,2.587707865354029
-7.64354450465653,2.5897711870628917
-7.642727644924457,2.5918339103192163
-7.641907439060564,2.5938959533938943
-7.641083719134414,2.595957237510852
-7.640256330015374,2.59801768794399
-7.639425126868452,2.6000772331247064
-7.63858997862931,2.602135805993776
-7.637750762908762,2.604193342140966
-7.636907371090856,2.60624978179036
-7.636059704573742,2.6083050684515587
-7.635207676255253,2.610359149558861
-7.6343512093391706,2.6124119760937723
-7.6334902403698575,2.6144635038502635
-7.632624715967003,2.6165136922660897
-7.631754627906351,2.6185625183829466
-7.630879955000986,2.6206099541584353
-7.630000682340326,2.6226559740365265
-7.629116807848694,2.624700557648015
-7.628228298828328,2.6267436723161723
-7.627335202873953,2.6287853179931115
-7.626437505436837,2.6308254695986606
-7.625535231134577,2.6328641182318533
-7.624628412815797,2.6349012587084037
-7.623717132769568,2.636936906864437
-7.62280141064462,2.6389710529173813
-7.621881301951264,2.641003702499337
-7.620956871679897,2.6430348657827847
-7.62002822615876,2.645064571188509
-7.61909541501382,2.647092823609973
-7.618158557498249,2.6491196584827907
-7.61721775049663,2.651145102435144
-7.616273096462785,2.653169185269664
-7.615324703756762,2.6551919401430193
-7.614372683073506,2.6572134020230704
-7.613417118903104,2.659233595051651
-7.612458125410357,2.6612525571711934
-7.611495818143903,2.6632703277024343
-7.6105303505728426,2.6652869637160297
-7.609561824486676,2.6673024999409622
-7.6085903681245215,2.669316983680909
-7.607616110046954,2.6713304631196775
-7.606639205714546,2.6733429993860907
-7.6056597692147205,2.6753546355233784
-7.604677936271879,2.677365425063518
-7.603693860121942,2.679375430222783
-7.602707661598503,2.6813846989827614
-7.60171947655264,2.6833932867800225
-7.600729443883169,2.685401251008708
-7.59973769996867,2.687408648419347
-7.598744383280183,2.6894155372167132
-7.59774964172617,2.6914219804488857
-7.596753613481606,2.6934280370703254
-7.5957564231512515,2.6954337600878575
-7.594758205027697,2.6974392073564952
-7.593759090014869,2.699444435456847
-7.592759214479155,2.7014495037978845
-7.591758699717521,2.7034544649788304
-7.590757678723953,2.7054593772794533
-7.589756270104913,2.7074642924159096
-7.588754595424556,2.709469263633147
-7.587752771732187,2.7114743421756615
-7.586750914049266,2.7134795784264014
-7.585749133222776,2.715485020875678
-7.584747538659334,2.717490717380218
-7.583746234754426,2.719496713468888
-7.5827453251925245,2.7215030543387866
-7.581744907348227,2.7235097822166723
-7.580745076762931,2.7255169384410762
-7.579745923405495,2.7275245617015975
-7.5787475341948465,2.729532689209486
-7.577749990960737,2.7315413557388424
-7.576753374381833,2.733550595456879
